speed;angleToTrack;trackPos;lateralSpeed;RPM;gear_presente;trackEdge0;trackEdge1;trackEdge2;trackEdge3;trackEdge4;trackEdge5;trackEdge6;trackEdge7;trackEdge8;trackEdge9;trackEdge10;trackEdge11;trackEdge12;trackEdge13;trackEdge14;trackEdge15;trackEdge16;trackEdge17;trackEdge18;accelerate;brake;clutch;gear_futura;steering
0.0006;-0.0078;-0.3337;0.0017;5235.9900;0;7.3353;7.4377;7.7816;8.4256;9.4974;11.2676;14.3652;20.5607;36.7665;191.4090;23.5795;11.0664;7.4593;5.7657;4.8199;4.2529;3.9120;3.7268;3.6649;0.0000;0.0000;0.0000;1;0.0105
0.0006;-0.0078;-0.3337;0.0017;5235.9900;0;7.3353;7.4377;7.7816;8.4256;9.4974;11.2676;14.3652;20.5607;36.7665;191.4090;23.5795;11.0664;7.4593;5.7657;4.8199;4.2529;3.9120;3.7268;3.6649;0.0000;0.0000;0.0000;1;0.0105
0.0006;-0.0078;-0.3337;0.0017;5235.9900;0;7.3353;7.4377;7.7816;8.4256;9.4974;11.2676;14.3652;20.5607;36.7665;191.4090;23.5795;11.0664;7.4593;5.7657;4.8199;4.2529;3.9120;3.7268;3.6649;0.0000;0.0000;0.0000;1;0.0105
0.0006;-0.0078;-0.3337;0.0017;5235.9900;0;7.3353;7.4377;7.7816;8.4256;9.4974;11.2676;14.3652;20.5607;36.7665;191.4090;23.5795;11.0664;7.4593;5.7657;4.8199;4.2529;3.9120;3.7268;3.6649;0.0000;0.0000;0.0000;1;0.0105
0.0006;-0.0078;-0.3337;0.0017;5235.9900;0;7.3353;7.4377;7.7816;8.4256;9.4974;11.2676;14.3652;20.5607;36.7665;191.4090;23.5795;11.0664;7.4593;5.7657;4.8199;4.2529;3.9120;3.7268;3.6649;0.0148;0.0000;0.0000;1;0.0000
0.0006;-0.0078;-0.3337;0.0017;5235.9900;0;7.3353;7.4377;7.7816;8.4256;9.4974;11.2676;14.3652;20.5607;36.7665;191.4090;23.5795;11.0664;7.4593;5.7657;4.8199;4.2529;3.9120;3.7268;3.6649;0.0477;0.0000;0.0000;1;0.0000
0.0006;-0.0078;-0.3337;0.0017;5238.1800;0;7.3353;7.4377;7.7816;8.4256;9.4974;11.2676;14.3652;20.5607;36.7665;191.4090;23.5795;11.0664;7.4593;5.7657;4.8199;4.2529;3.9120;3.7268;3.6649;0.1013;0.0000;0.0000;1;0.0000
0.0006;-0.0078;-0.3337;0.0017;5245.2600;0;7.3353;7.4377;7.7816;8.4256;9.4974;11.2676;14.3652;20.5607;36.7665;191.4090;23.5795;11.0664;7.4593;5.7657;4.8199;4.2529;3.9120;3.7268;3.6649;0.1595;0.0000;0.0000;1;0.0000
0.0006;-0.0078;-0.3337;0.0017;5260.3100;0;7.3353;7.4377;7.7816;8.4256;9.4974;11.2676;14.3652;20.5607;36.7665;191.4090;23.5795;11.0664;7.4593;5.7657;4.8199;4.2529;3.9120;3.7268;3.6649;0.2164;0.0000;0.0000;1;0.0000
0.0006;-0.0078;-0.3337;0.0017;5284.0900;0;7.3353;7.4377;7.7816;8.4256;9.4974;11.2676;14.3652;20.5607;36.7665;191.4090;23.5795;11.0664;7.4593;5.7657;4.8199;4.2529;3.9120;3.7268;3.6649;0.2815;0.0000;0.0000;1;0.0000
0.0006;-0.0078;-0.3337;0.0017;5316.5100;0;7.3353;7.4377;7.7816;8.4256;9.4974;11.2676;14.3652;20.5607;36.7665;191.4090;23.5795;11.0664;7.4593;5.7657;4.8199;4.2529;3.9120;3.7268;3.6649;0.3433;0.0000;0.0000;1;0.0000
0.0006;-0.0078;-0.3337;0.0017;5358.9900;0;7.3353;7.4377;7.7816;8.4256;9.4974;11.2676;14.3652;20.5607;36.7665;191.4090;23.5795;11.0664;7.4593;5.7657;4.8199;4.2529;3.9120;3.7268;3.6649;0.4006;0.0000;0.0000;1;0.0000
